study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	center_name	experiment_alias	fastq_ftp	submitted_ftp	submitted_aspera	sra_ftp	broker_name	sample_title	bam_ftp
PRJNA384716	SAMN07259845	SRX2939799	SRR5723879	646099	human metagenome	NextSeq 500	SUB2791318	206FU_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723879/SRR5723879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723879/SRR5723879_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723879		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259851	SRX2939796	SRR5723882	646099	human metagenome	NextSeq 500	SUB2791318	202HS_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723882/SRR5723882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723882/SRR5723882_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723882		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259867	SRX2939858	SRR5723820	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723820/SRR5723820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723820/SRR5723820_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723820		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259847	SRX2939792	SRR5723886	646099	human metagenome	NextSeq 500	SUB2791318	202HS_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723886/SRR5723886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723886/SRR5723886_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723886		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259874	SRX2939853	SRR5723825	646099	human metagenome	NextSeq 500	SUB2791318	164LO_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723825/SRR5723825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723825/SRR5723825_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723825		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259846	SRX2939791	SRR5723887	646099	human metagenome	NextSeq 500	SUB2791318	202HS_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723887/SRR5723887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723887/SRR5723887_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723887		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259840	SRX2939787	SRR5723891	646099	human metagenome	NextSeq 500	SUB2791318	206FU_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723891/SRR5723891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723891/SRR5723891_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723891		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259888	SRX2939852	SRR5723826	646099	human metagenome	NextSeq 500	SUB2791318	94FU_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723826/SRR5723826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723826/SRR5723826_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723826		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259893	SRX2939847	SRR5723831	646099	human metagenome	NextSeq 500	SUB2791318	94FU_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723831/SRR5723831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723831/SRR5723831_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723831		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259886	SRX2939844	SRR5723834	646099	human metagenome	NextSeq 500	SUB2791318	138IR_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723834/SRR5723834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723834/SRR5723834_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723834		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259881	SRX2939837	SRR5723841	646099	human metagenome	NextSeq 500	SUB2791318	140BY_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723841/SRR5723841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723841/SRR5723841_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723841		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259900	SRX2939836	SRR5723842	646099	human metagenome	NextSeq 500	SUB2791318	85CX_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723842/SRR5723842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723842/SRR5723842_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723842		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259901	SRX2939835	SRR5723843	646099	human metagenome	NextSeq 500	SUB2791318	85CX_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723843/SRR5723843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723843/SRR5723843_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723843		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259911	SRX2939833	SRR5723845	646099	human metagenome	NextSeq 500	SUB2791318	73FU_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723845/SRR5723845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723845/SRR5723845_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723845		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259906	SRX2939830	SRR5723848	646099	human metagenome	NextSeq 500	SUB2791318	73FU_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723848/SRR5723848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723848/SRR5723848_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723848		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259907	SRX2939829	SRR5723849	646099	human metagenome	NextSeq 500	SUB2791318	73FU_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723849/SRR5723849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723849/SRR5723849_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723849		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259860	SRX2939882	SRR5723796	646099	human metagenome	NextSeq 500	SUB2791318	190LO_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723796/SRR5723796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723796/SRR5723796_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723796		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259916	SRX2939828	SRR5723850	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723850/SRR5723850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723850/SRR5723850_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723850		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259861	SRX2939881	SRR5723797	646099	human metagenome	NextSeq 500	SUB2791318	190LO_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723797/SRR5723797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723797/SRR5723797_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723797		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259853	SRX2939877	SRR5723801	646099	human metagenome	NextSeq 500	SUB2791318	198KP_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723801/SRR5723801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723801/SRR5723801_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723801		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259897	SRX2939822	SRR5723856	646099	human metagenome	NextSeq 500	SUB2791318	91FU_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723856/SRR5723856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723856/SRR5723856_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723856		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259863	SRX2939875	SRR5723803	646099	human metagenome	NextSeq 500	SUB2791318	190LO_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723803/SRR5723803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723803/SRR5723803_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723803		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259884	SRX2939872	SRR5723806	646099	human metagenome	NextSeq 500	SUB2791318	138IR_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723806/SRR5723806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723806/SRR5723806_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723806		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259896	SRX2939821	SRR5723857	646099	human metagenome	NextSeq 500	SUB2791318	91FU_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723857/SRR5723857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723857/SRR5723857_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723857		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259885	SRX2939871	SRR5723807	646099	human metagenome	NextSeq 500	SUB2791318	138IR_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723807/SRR5723807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723807/SRR5723807_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723807		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259899	SRX2939818	SRR5723860	646099	human metagenome	NextSeq 500	SUB2791318	91FU_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723860/SRR5723860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723860/SRR5723860_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723860		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259831	SRX2939869	SRR5723809	646099	human metagenome	NextSeq 500	SUB2791318	134HS_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723809/SRR5723809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723809/SRR5723809_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723809		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259898	SRX2939817	SRR5723861	646099	human metagenome	NextSeq 500	SUB2791318	91FU_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723861/SRR5723861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723861/SRR5723861_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723861		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259828	SRX2939868	SRR5723810	646099	human metagenome	NextSeq 500	SUB2791318	134HS_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723810/SRR5723810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723810/SRR5723810_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723810		Metagenome or environmental sample from human metagenome	
