Processing file: SRR5723802_colostrum_cutadapter_finalcontigs.fa
>k141_432 flag=1 multi=3.0000 len=590
>k141_294 flag=0 multi=1.0000 len=587
>k141_433 flag=1 multi=2.0000 len=392
>k141_210 flag=1 multi=1.0000 len=452
>k141_434 flag=1 multi=1.0000 len=441
>k141_211 flag=1 multi=1.0000 len=415
>k141_90 flag=1 multi=1.0000 len=567
>k141_212 flag=1 multi=1.0000 len=543
>k141_91 flag=1 multi=2.0000 len=342
>k141_213 flag=1 multi=1.0000 len=586
>k141_92 flag=1 multi=1.0000 len=627
>k141_214 flag=0 multi=1.0000 len=306
>k141_93 flag=1 multi=1.0000 len=458
>k141_10 flag=1 multi=1.0000 len=468
>k141_94 flag=1 multi=1.0000 len=520
>k141_11 flag=1 multi=1.0000 len=561
>k141_400 flag=1 multi=3.0000 len=362
>k141_12 flag=1 multi=1.0000 len=583
>k141_401 flag=1 multi=1.0000 len=514
>k141_13 flag=0 multi=1.0000 len=337
>k141_402 flag=1 multi=2.0000 len=653
>k141_403 flag=1 multi=4.0000 len=368
>k141_14 flag=1 multi=1.0000 len=830
>k141_404 flag=1 multi=1.0000 len=436
>k141_205 flag=1 multi=2.0000 len=345
>k141_255 flag=1 multi=2.0000 len=342
>k141_206 flag=1 multi=1.0000 len=399
>k141_256 flag=1 multi=2.0000 len=427
>k141_207 flag=1 multi=1.0000 len=516
>k141_257 flag=0 multi=1.0000 len=283
>k141_208 flag=1 multi=1.0000 len=535
>k141_259 flag=1 multi=2.0000 len=484
>k141_209 flag=1 multi=2.0000 len=323
>k141_460 flag=0 multi=1.0000 len=648
>k141_520 flag=1 multi=2.0000 len=665
>k141_461 flag=0 multi=1.0000 len=356
>k141_521 flag=1 multi=1.0000 len=683
>k141_462 flag=1 multi=1.0000 len=529
>k141_522 flag=1 multi=10.0000 len=758
>k141_463 flag=1 multi=1.0000 len=771
>k141_523 flag=1 multi=1.0000 len=351
>k141_464 flag=1 multi=1.0000 len=589
>k141_524 flag=1 multi=1.0000 len=525
>k141_535 flag=1 multi=1.0000 len=311
>k141_305 flag=1 multi=4.0000 len=649
>k141_536 flag=1 multi=2.0000 len=501
>k141_306 flag=1 multi=3.0000 len=436
>k141_537 flag=1 multi=1.0000 len=633
>k141_307 flag=1 multi=3.0000 len=748
>k141_538 flag=1 multi=1.0000 len=379
>k141_308 flag=1 multi=1.0000 len=453
>k141_309 flag=1 multi=1.0000 len=332
>k141_539 flag=1 multi=1.0000 len=871
>k141_395 flag=1 multi=2.0000 len=359
>k141_396 flag=1 multi=2.0000 len=339
>k141_30 flag=1 multi=1.0000 len=416
>k141_397 flag=0 multi=1.0000 len=337
>k141_398 flag=0 multi=1.0000 len=353
>k141_31 flag=1 multi=1.0000 len=552
>k141_399 flag=1 multi=1.0000 len=327
>k141_32 flag=1 multi=1.0000 len=526
>k141_245 flag=1 multi=2.0000 len=348
>k141_33 flag=1 multi=1.0000 len=380
>k141_246 flag=1 multi=1.0000 len=356
>k141_34 flag=1 multi=1.0000 len=399
>k141_565 flag=1 multi=1.0000 len=419
>k141_247 flag=1 multi=2.0000 len=697
>k141_248 flag=1 multi=1.0000 len=507
>k141_566 flag=1 multi=1.0000 len=602
>k141_249 flag=1 multi=2.0000 len=544
>k141_175 flag=1 multi=2.0000 len=317
>k141_567 flag=1 multi=1.0000 len=684
>k141_176 flag=1 multi=1.0000 len=440
>k141_568 flag=1 multi=1.0000 len=545
>k141_569 flag=1 multi=1.0000 len=358
>k141_177 flag=1 multi=1.0000 len=547
>k141_178 flag=0 multi=1.0000 len=363
>k141_179 flag=1 multi=1.0000 len=348
>k141_221 flag=1 multi=1.0000 len=942
>k141_345 flag=1 multi=1.0000 len=557
>k141_222 flag=1 multi=1.0000 len=453
>k141_346 flag=1 multi=1.0000 len=567
>k141_223 flag=0 multi=1.0000 len=542
>k141_347 flag=1 multi=1.0000 len=446
>k141_348 flag=1 multi=1.0000 len=354
>k141_224 flag=1 multi=1.0000 len=1025
>k141_349 flag=1 multi=1.0000 len=730
>k141_160 flag=0 multi=1.0000 len=361
>k141_95 flag=1 multi=1.0000 len=502
>k141_161 flag=1 multi=1.0000 len=342
>k141_96 flag=1 multi=1.0000 len=394
>k141_162 flag=1 multi=1.0000 len=471
>k141_163 flag=1 multi=1.0000 len=455
>k141_164 flag=1 multi=1.0000 len=305
>k141_97 flag=0 multi=1.0000 len=1057
>k141_540 flag=1 multi=1.0000 len=495
>k141_98 flag=1 multi=1.0000 len=799
>k141_541 flag=1 multi=1.0000 len=665
>k141_542 flag=1 multi=1.0000 len=579
>k141_99 flag=1 multi=1.0000 len=740
>k141_543 flag=1 multi=2.0000 len=376
>k141_544 flag=0 multi=1.9694 len=860
>k141_410 flag=0 multi=1.0000 len=1027
>k141_411 flag=0 multi=1.0000 len=412
>k141_40 flag=1 multi=1.0000 len=682
>k141_41 flag=1 multi=1.0000 len=322
>k141_412 flag=1 multi=1.0000 len=763
>k141_413 flag=0 multi=1.0000 len=349
>k141_42 flag=1 multi=1.0000 len=707
>k141_414 flag=0 multi=1.0000 len=315
>k141_43 flag=1 multi=1.0000 len=375
>k141_44 flag=1 multi=1.0000 len=608
>k141_505 flag=1 multi=1.0000 len=303
>k141_475 flag=1 multi=1.0000 len=943
>k141_476 flag=1 multi=3.0000 len=306
>k141_506 flag=1 multi=1.0000 len=466
>k141_477 flag=1 multi=1.0000 len=416
>k141_507 flag=1 multi=1.0000 len=615
>k141_478 flag=1 multi=1.0000 len=631
>k141_508 flag=1 multi=1.0000 len=551
>k141_479 flag=1 multi=2.0000 len=516
>k141_509 flag=1 multi=1.0000 len=491
>k141_215 flag=0 multi=1.0000 len=270
>k141_445 flag=1 multi=2.0000 len=519
>k141_216 flag=0 multi=1.0000 len=225
>k141_446 flag=1 multi=1.0000 len=357
>k141_447 flag=1 multi=1.0000 len=340
>k141_448 flag=1 multi=1.0000 len=357
>k141_217 flag=1 multi=2.0000 len=1069
>k141_218 flag=1 multi=1.0000 len=414
>k141_219 flag=1 multi=1.0000 len=370
>k141_449 flag=0 multi=3.0000 len=1090
>k141_285 flag=1 multi=2.0000 len=360
>k141_590 flag=1 multi=2.0000 len=483
>k141_591 flag=0 multi=1.0000 len=305
>k141_286 flag=0 multi=1.0000 len=617
>k141_287 flag=0 multi=1.0000 len=360
>k141_592 flag=0 multi=6.0000 len=782
>k141_288 flag=1 multi=1.0000 len=1118
>k141_593 flag=1 multi=1.0000 len=875
>k141_574 flag=1 multi=2.0000 len=351
>k141_289 flag=0 multi=4.8663 len=799
>k141_575 flag=1 multi=1.0000 len=449
>k141_576 flag=1 multi=1.0000 len=387
>k141_380 flag=0 multi=2.6815 len=524
>k141_381 flag=1 multi=1.0000 len=644
>k141_577 flag=1 multi=1.0000 len=948
>k141_382 flag=1 multi=1.0000 len=435
>k141_383 flag=1 multi=1.0000 len=394
>k141_365 flag=1 multi=1.0000 len=586
>k141_366 flag=1 multi=3.0000 len=469
>k141_384 flag=1 multi=2.0000 len=619
>k141_367 flag=1 multi=1.0000 len=478
>k141_455 flag=1 multi=1.0000 len=451
>k141_456 flag=1 multi=2.0000 len=360
>k141_457 flag=1 multi=2.0000 len=451
>k141_458 flag=0 multi=1.0000 len=565
>k141_368 flag=1 multi=1.0000 len=1215
>k141_369 flag=1 multi=1.0000 len=542
>k141_459 flag=0 multi=1.0000 len=584
>k141_550 flag=1 multi=1.0000 len=494
>k141_560 flag=1 multi=1.0000 len=561
>k141_551 flag=1 multi=1.0000 len=463
>k141_552 flag=1 multi=1.0000 len=376
>k141_553 flag=1 multi=1.0000 len=527
>k141_561 flag=1 multi=1.9374 len=1020
>k141_562 flag=1 multi=1.0000 len=419
>k141_554 flag=1 multi=1.0000 len=582
>k141_325 flag=1 multi=2.0000 len=425
>k141_563 flag=1 multi=1.0000 len=578
>k141_564 flag=0 multi=1.0000 len=239
>k141_326 flag=1 multi=1.0000 len=350
>k141_440 flag=0 multi=1.0000 len=204
>k141_327 flag=1 multi=1.0000 len=444
>k141_441 flag=1 multi=1.0000 len=714
>k141_442 flag=1 multi=2.0000 len=321
>k141_328 flag=1 multi=1.0000 len=679
>k141_443 flag=1 multi=1.0000 len=330
>k141_329 flag=1 multi=3.0000 len=425
>k141_444 flag=1 multi=1.0000 len=592
>k141_265 flag=1 multi=1.0000 len=604
>k141_195 flag=1 multi=1.8945 len=956
>k141_196 flag=1 multi=2.0000 len=311
>k141_197 flag=1 multi=1.0000 len=452
>k141_266 flag=1 multi=3.0000 len=717
>k141_198 flag=1 multi=1.0000 len=537
>k141_267 flag=1 multi=1.6974 len=488
>k141_268 flag=1 multi=1.0000 len=380
>k141_269 flag=0 multi=1.0000 len=209
>k141_130 flag=1 multi=1.0000 len=452
>k141_199 flag=1 multi=1.7579 len=1091
>k141_131 flag=1 multi=1.0000 len=752
>k141_405 flag=1 multi=1.0000 len=456
>k141_132 flag=1 multi=1.0000 len=379
>k141_406 flag=1 multi=2.0000 len=450
>k141_133 flag=1 multi=1.0000 len=434
>k141_134 flag=1 multi=1.0000 len=395
>k141_407 flag=1 multi=1.0000 len=798
>k141_408 flag=1 multi=1.0000 len=417
>k141_525 flag=1 multi=1.0000 len=793
>k141_409 flag=1 multi=1.0000 len=392
>k141_526 flag=1 multi=1.0000 len=491
>k141_270 flag=1 multi=1.0000 len=430
>k141_527 flag=1 multi=1.0000 len=411
>k141_271 flag=1 multi=1.0000 len=401
>k141_272 flag=1 multi=2.0000 len=330
>k141_528 flag=1 multi=1.0000 len=355
>k141_273 flag=1 multi=2.0000 len=322
>k141_529 flag=1 multi=1.0000 len=631
>k141_485 flag=1 multi=1.0000 len=580
>k141_274 flag=0 multi=1.0000 len=945
>k141_486 flag=1 multi=2.0000 len=553
>k141_487 flag=1 multi=2.0000 len=343
>k141_531 flag=1 multi=1.0000 len=902
>k141_488 flag=1 multi=1.0000 len=509
>k141_489 flag=1 multi=1.0000 len=539
>k141_532 flag=1 multi=1.0000 len=636
>k141_533 flag=1 multi=1.0000 len=490
>k141_135 flag=1 multi=1.0000 len=658
>k141_534 flag=1 multi=1.0000 len=534
>k141_136 flag=1 multi=1.0000 len=411
>k141_137 flag=1 multi=1.0000 len=528
>k141_200 flag=1 multi=1.0000 len=913
>k141_138 flag=1 multi=2.0000 len=898
>k141_201 flag=1 multi=1.0000 len=585
>k141_139 flag=1 multi=1.0000 len=653
>k141_202 flag=1 multi=1.0000 len=725
>k141_203 flag=1 multi=1.0000 len=326
>k141_385 flag=1 multi=1.0000 len=449
>k141_386 flag=1 multi=1.0000 len=317
>k141_387 flag=1 multi=1.0000 len=399
>k141_204 flag=1 multi=1.0000 len=981
>k141_388 flag=1 multi=1.0000 len=561
>k141_340 flag=1 multi=3.0000 len=402
>k141_389 flag=1 multi=1.0000 len=665
>k141_341 flag=1 multi=1.0000 len=419
>k141_5 flag=1 multi=2.0000 len=360
>k141_342 flag=1 multi=1.0000 len=818
>k141_6 flag=1 multi=1.0000 len=594
>k141_343 flag=1 multi=1.0000 len=423
>k141_7 flag=1 multi=1.0000 len=439
>k141_344 flag=0 multi=1.0000 len=521
>k141_8 flag=1 multi=1.0000 len=590
>k141_9 flag=1 multi=2.0000 len=334
>k141_606 flag=1 multi=1.0000 len=321
>k141_607 flag=1 multi=2.0000 len=418
>k141_145 flag=1 multi=1.0000 len=964
>k141_146 flag=1 multi=2.0000 len=333
>k141_608 flag=1 multi=1.0000 len=616
>k141_147 flag=1 multi=2.0000 len=429
>k141_148 flag=1 multi=1.0000 len=565
>k141_149 flag=1 multi=1.0000 len=391
>k141_545 flag=1 multi=2.0000 len=389
>k141_546 flag=1 multi=2.0000 len=425
>k141_547 flag=1 multi=3.0000 len=575
>k141_548 flag=1 multi=2.0000 len=394
>k141_609 flag=1 multi=4.0000 len=2159
>k141_578 flag=0 multi=1.0000 len=470
>k141_549 flag=1 multi=3.0000 len=571
>k141_470 flag=1 multi=2.0000 len=416
>k141_579 flag=1 multi=1.0000 len=464
>k141_580 flag=1 multi=1.0000 len=389
>k141_471 flag=1 multi=3.0000 len=505
>k141_581 flag=1 multi=3.0000 len=402
>k141_472 flag=1 multi=1.0000 len=528
>k141_555 flag=1 multi=2.0000 len=384
>k141_556 flag=1 multi=2.0000 len=309
>k141_473 flag=1 multi=1.0000 len=464
>k141_474 flag=1 multi=2.0000 len=305
>k141_80 flag=1 multi=3.0000 len=418
>k141_557 flag=1 multi=1.0000 len=857
>k141_558 flag=0 multi=1.0000 len=250
>k141_559 flag=1 multi=1.0000 len=445
>k141_81 flag=1 multi=1.0000 len=913
>k141_230 flag=1 multi=1.0000 len=709
>k141_82 flag=1 multi=1.0000 len=655
>k141_83 flag=1 multi=3.0000 len=753
>k141_231 flag=1 multi=1.8098 len=1145
>k141_84 flag=1 multi=1.0000 len=418
>k141_232 flag=1 multi=1.0000 len=530
>k141_355 flag=1 multi=1.0000 len=609
>k141_233 flag=1 multi=1.0000 len=419
>k141_234 flag=1 multi=1.0000 len=494
>k141_356 flag=1 multi=1.0000 len=843
>k141_515 flag=1 multi=1.0000 len=434
>k141_357 flag=1 multi=1.0000 len=564
>k141_516 flag=1 multi=2.0000 len=461
>k141_358 flag=1 multi=1.0000 len=512
>k141_517 flag=1 multi=1.0000 len=470
>k141_518 flag=1 multi=1.0000 len=327
>k141_359 flag=1 multi=1.0000 len=477
>k141_519 flag=1 multi=2.0000 len=345
>k141_55 flag=1 multi=1.0000 len=426
>k141_425 flag=1 multi=1.0000 len=712
>k141_56 flag=1 multi=2.0000 len=359
>k141_426 flag=1 multi=1.0000 len=397
>k141_57 flag=1 multi=1.0000 len=331
>k141_427 flag=1 multi=2.0000 len=389
>k141_58 flag=1 multi=1.0000 len=467
>k141_428 flag=1 multi=2.0000 len=530
>k141_59 flag=1 multi=1.0000 len=507
>k141_429 flag=1 multi=1.0000 len=371
>k141_65 flag=1 multi=2.0000 len=329
>k141_66 flag=1 multi=3.0000 len=367
>k141_67 flag=1 multi=1.0000 len=389
>k141_20 flag=1 multi=5.0000 len=1051
>k141_21 flag=1 multi=2.0000 len=427
>k141_22 flag=1 multi=2.0000 len=318
>k141_68 flag=1 multi=1.0000 len=693
>k141_23 flag=1 multi=2.0000 len=365
>k141_69 flag=1 multi=1.0000 len=436
>k141_24 flag=1 multi=1.0000 len=318
>k141_105 flag=1 multi=1.0000 len=406
>k141_106 flag=1 multi=1.0000 len=386
>k141_240 flag=1 multi=1.0000 len=822
>k141_241 flag=1 multi=1.0000 len=303
>k141_242 flag=1 multi=1.0000 len=528
>k141_107 flag=1 multi=1.0000 len=807
>k141_108 flag=1 multi=1.0000 len=681
>k141_243 flag=1 multi=2.0000 len=843
>k141_244 flag=1 multi=1.0000 len=501
>k141_109 flag=1 multi=1.0000 len=812
>k141_280 flag=1 multi=1.0000 len=350
>k141_281 flag=1 multi=1.0000 len=355
>k141_120 flag=1 multi=1.0000 len=961
>k141_282 flag=1 multi=1.0000 len=333
>k141_121 flag=1 multi=1.0000 len=482
>k141_283 flag=1 multi=1.0000 len=732
>k141_122 flag=0 multi=1.0000 len=490
>k141_123 flag=1 multi=1.0000 len=577
>k141_284 flag=1 multi=2.0000 len=733
>k141_124 flag=1 multi=1.0000 len=378
>k141_35 flag=1 multi=1.0000 len=537
>k141_155 flag=1 multi=2.0000 len=918
>k141_156 flag=0 multi=1.0000 len=532
>k141_157 flag=1 multi=2.0000 len=382
>k141_36 flag=1 multi=1.0000 len=1127
>k141_158 flag=1 multi=1.0000 len=555
>k141_37 flag=1 multi=1.0000 len=497
>k141_159 flag=1 multi=1.0000 len=303
>k141_38 flag=1 multi=2.0000 len=444
>k141_39 flag=1 multi=1.0000 len=564
>k141_125 flag=1 multi=1.9962 len=1188
>k141_15 flag=1 multi=1.0000 len=721
>k141_126 flag=1 multi=1.0000 len=464
>k141_16 flag=1 multi=1.0000 len=618
>k141_127 flag=1 multi=1.0000 len=810
>k141_17 flag=0 multi=1.0000 len=397
>k141_18 flag=1 multi=1.0000 len=354
>k141_128 flag=1 multi=1.0000 len=654
>k141_19 flag=1 multi=1.0000 len=389
>k141_129 flag=1 multi=1.0000 len=405
>k141_185 flag=1 multi=1.0000 len=878
>k141_490 flag=1 multi=1.0000 len=728
>k141_186 flag=0 multi=1.0000 len=380
>k141_491 flag=1 multi=2.0000 len=381
>k141_187 flag=1 multi=1.0000 len=494
>k141_188 flag=0 multi=1.0000 len=421
>k141_492 flag=1 multi=1.0000 len=728
>k141_189 flag=1 multi=1.0000 len=382
>k141_493 flag=1 multi=2.0000 len=536
>k141_190 flag=1 multi=1.0000 len=382
>k141_494 flag=1 multi=1.0000 len=359
>k141_191 flag=1 multi=1.0000 len=446
>k141_390 flag=1 multi=1.0000 len=343
>k141_192 flag=0 multi=1.0000 len=276
>k141_193 flag=1 multi=1.0000 len=642
>k141_391 flag=1 multi=1.0000 len=823
>k141_392 flag=1 multi=1.0000 len=380
>k141_194 flag=0 multi=1.3436 len=432
>k141_393 flag=1 multi=1.0000 len=565
>k141_582 flag=1 multi=2.0000 len=850
>k141_583 flag=1 multi=1.0000 len=368
>k141_394 flag=1 multi=2.0000 len=821
>k141_584 flag=1 multi=1.0000 len=472
>k141_250 flag=1 multi=1.0000 len=653
>k141_585 flag=1 multi=1.0000 len=473
>k141_251 flag=1 multi=2.0000 len=321
>k141_75 flag=1 multi=2.0000 len=398
>k141_252 flag=1 multi=1.0000 len=398
>k141_253 flag=1 multi=1.0000 len=358
>k141_254 flag=1 multi=7.0000 len=455
>k141_76 flag=1 multi=1.0000 len=884
>k141_150 flag=1 multi=2.0000 len=316
>k141_77 flag=1 multi=2.0000 len=309
>k141_151 flag=1 multi=2.0000 len=304
>k141_152 flag=1 multi=2.0000 len=328
>k141_78 flag=1 multi=1.0000 len=609
>k141_153 flag=1 multi=3.0000 len=468
>k141_79 flag=1 multi=2.0000 len=399
>k141_154 flag=1 multi=1.0000 len=455
>k141_170 flag=1 multi=2.0000 len=452
>k141_171 flag=1 multi=1.0000 len=763
>k141_375 flag=1 multi=3.0000 len=1114
>k141_376 flag=1 multi=1.0000 len=411
>k141_172 flag=1 multi=1.0000 len=904
>k141_70 flag=0 multi=1.0000 len=338
>k141_71 flag=1 multi=2.0000 len=318
>k141_173 flag=1 multi=1.0000 len=579
>k141_174 flag=1 multi=1.0000 len=436
>k141_72 flag=1 multi=1.0000 len=628
>k141_73 flag=1 multi=1.0000 len=687
>k141_74 flag=1 multi=3.0000 len=358
>k141_180 flag=1 multi=1.0000 len=596
>k141_181 flag=1 multi=1.0000 len=450
>k141_182 flag=1 multi=2.0000 len=568
>k141_315 flag=1 multi=1.8646 len=2453
>k141_183 flag=1 multi=2.0000 len=395
>k141_316 flag=0 multi=1.0000 len=258
>k141_184 flag=1 multi=1.0000 len=402
>k141_317 flag=0 multi=1.0000 len=398
>k141_318 flag=1 multi=1.0000 len=542
>k141_85 flag=1 multi=1.0000 len=713
>k141_319 flag=0 multi=1.0000 len=309
>k141_86 flag=1 multi=1.0000 len=347
>k141_480 flag=1 multi=1.0000 len=522
>k141_87 flag=1 multi=1.0000 len=724
>k141_481 flag=1 multi=2.0000 len=594
>k141_88 flag=1 multi=2.0000 len=318
>k141_482 flag=1 multi=2.0000 len=326
>k141_89 flag=1 multi=1.0000 len=344
>k141_483 flag=1 multi=3.0000 len=326
>k141_330 flag=1 multi=1.0000 len=572
>k141_484 flag=1 multi=2.0000 len=511
>k141_435 flag=1 multi=1.0000 len=495
>k141_331 flag=1 multi=1.0000 len=705
>k141_332 flag=1 multi=1.0000 len=406
>k141_436 flag=1 multi=1.0000 len=721
>k141_437 flag=1 multi=1.0000 len=453
>k141_333 flag=1 multi=1.0000 len=917
>k141_334 flag=1 multi=1.0000 len=512
>k141_415 flag=1 multi=1.0000 len=592
>k141_416 flag=1 multi=1.0000 len=312
>k141_602 flag=1 multi=1.0000 len=480
>k141_603 flag=1 multi=2.0000 len=320
>k141_417 flag=1 multi=2.0000 len=411
>k141_418 flag=1 multi=1.0000 len=415
>k141_604 flag=1 multi=1.0000 len=559
>k141_605 flag=1 multi=2.0000 len=345
>k141_570 flag=1 multi=1.0000 len=544
>k141_571 flag=1 multi=1.0000 len=477
>k141_572 flag=1 multi=1.0000 len=356
>k141_573 flag=1 multi=1.0000 len=411
>k141_419 flag=1 multi=1.9843 len=1857
>k141_500 flag=1 multi=1.0000 len=517
>k141_25 flag=1 multi=1.0000 len=385
>k141_501 flag=1 multi=1.0000 len=431
>k141_26 flag=1 multi=2.0000 len=432
>k141_502 flag=0 multi=1.0000 len=515
>k141_27 flag=1 multi=1.0000 len=658
>k141_503 flag=1 multi=2.0000 len=366
>k141_28 flag=1 multi=2.0000 len=358
>k141_504 flag=1 multi=1.0000 len=359
>k141_29 flag=1 multi=1.0000 len=397
>k141_598 flag=1 multi=2.0000 len=368
>k141_225 flag=1 multi=1.0000 len=315
>k141_226 flag=0 multi=1.0000 len=345
>k141_599 flag=1 multi=1.0000 len=460
>k141_600 flag=1 multi=1.0000 len=543
>k141_227 flag=0 multi=1.0000 len=626
>k141_228 flag=1 multi=1.0000 len=450
>k141_601 flag=1 multi=2.0000 len=544
>k141_229 flag=1 multi=1.0000 len=387
>k141_335 flag=1 multi=1.0000 len=376
>k141_465 flag=1 multi=1.0000 len=720
>k141_336 flag=0 multi=1.0000 len=228
>k141_466 flag=1 multi=2.0000 len=337
>k141_338 flag=0 multi=1.0000 len=325
>k141_467 flag=1 multi=1.0000 len=663
>k141_339 flag=0 multi=1.0000 len=519
>k141_360 flag=0 multi=1.0000 len=351
>k141_468 flag=1 multi=1.0000 len=459
>k141_469 flag=1 multi=1.0000 len=962
>k141_361 flag=1 multi=2.0000 len=1135
>k141_362 flag=0 multi=1.0000 len=473
>k141_235 flag=0 multi=1.0000 len=599
>k141_236 flag=1 multi=1.0000 len=564
>k141_363 flag=1 multi=1.0000 len=606
>k141_237 flag=1 multi=1.0000 len=388
>k141_238 flag=1 multi=1.0000 len=390
>k141_239 flag=1 multi=2.0000 len=385
>k141_364 flag=1 multi=1.0000 len=1044
>k141_0 flag=1 multi=1.0000 len=514
>k141_370 flag=1 multi=1.0000 len=696
>k141_1 flag=1 multi=1.0000 len=576
>k141_371 flag=1 multi=1.0000 len=574
>k141_372 flag=1 multi=3.0000 len=361
>k141_2 flag=1 multi=1.0000 len=470
>k141_373 flag=1 multi=2.0000 len=308
>k141_3 flag=1 multi=1.0000 len=496
>k141_374 flag=1 multi=1.0000 len=578
>k141_4 flag=1 multi=1.0000 len=403
>k141_438 flag=1 multi=1.0000 len=400
>k141_439 flag=1 multi=1.0000 len=349
>k141_50 flag=0 multi=1.0000 len=394
>k141_51 flag=0 multi=1.0000 len=350
>k141_60 flag=1 multi=2.0000 len=520
>k141_52 flag=1 multi=1.0000 len=565
>k141_61 flag=0 multi=1.0000 len=545
>k141_53 flag=0 multi=1.0000 len=344
>k141_62 flag=1 multi=4.0000 len=645
>k141_63 flag=1 multi=1.0000 len=374
>k141_54 flag=1 multi=1.0000 len=1002
>k141_64 flag=1 multi=1.0000 len=410
>k141_420 flag=0 multi=1.0000 len=327
>k141_421 flag=1 multi=2.0000 len=370
>k141_422 flag=1 multi=1.0000 len=558
>k141_423 flag=1 multi=2.0000 len=344
>k141_424 flag=1 multi=2.0000 len=319
>k141_586 flag=1 multi=1.0000 len=438
>k141_587 flag=1 multi=1.0000 len=750
>k141_588 flag=1 multi=1.0000 len=857
>k141_589 flag=1 multi=1.0000 len=510
>k141_295 flag=1 multi=1.0000 len=591
>k141_296 flag=1 multi=1.0000 len=461
>k141_297 flag=1 multi=1.0000 len=477
>k141_298 flag=1 multi=1.0000 len=561
>k141_299 flag=1 multi=1.0000 len=435
>k141_377 flag=1 multi=1.0000 len=341
>k141_378 flag=0 multi=1.0000 len=278
>k141_379 flag=1 multi=2.0000 len=491
>k141_618 flag=1 multi=1.0000 len=470
>k141_619 flag=1 multi=1.0000 len=371
>k141_620 flag=1 multi=2.0000 len=416
>k141_621 flag=1 multi=2.0000 len=379
>k141_100 flag=1 multi=1.0000 len=564
>k141_101 flag=1 multi=1.0000 len=645
>k141_102 flag=1 multi=1.0000 len=374
>k141_103 flag=0 multi=1.0000 len=257
>k141_104 flag=1 multi=1.0000 len=314
>k141_110 flag=1 multi=1.0000 len=567
>k141_165 flag=1 multi=1.0000 len=1125
>k141_111 flag=1 multi=1.0000 len=789
>k141_112 flag=0 multi=2.0892 len=466
>k141_166 flag=1 multi=1.0000 len=639
>k141_113 flag=1 multi=1.0000 len=355
>k141_114 flag=1 multi=1.0000 len=388
>k141_167 flag=0 multi=1.0000 len=786
>k141_45 flag=1 multi=2.0000 len=550
>k141_168 flag=1 multi=1.0000 len=525
>k141_46 flag=1 multi=1.0000 len=435
